pickup_day_of_week,pickup_hour,total_trips
5,18,461750
4,18,455081
6,18,451415
3,18,443312
5,19,442412
6,19,441941
5,21,431571
4,19,431062
5,20,421326
4,21,415116
4,20,409656
3,19,405914
5,17,404039
5,22,400803
6,17,397483
2,18,395017
4,17,393594
3,21,391586
3,20,389910
7,18,388608
7,19,387891
3,17,385769
6,22,383012
5,15,377413
5,8,377361
6,20,376985
4,22,375953
6,21,375424
5,14,373885
6,14,371238
6,15,368852
4,8,368571
7,17,368200
4,15,365813
4,14,361583
3,15,358295
2,17,357147
7,22,356259
6,8,354767
2,19,353862
6,23,353369
7,23,352058
3,8,351948
3,14,351507
5,9,350067
7,13,349279
7,15,348526
5,16,346362
5,12,343850
5,13,343502
4,9,342553
7,16,342528
7,12,342054
6,13,340375
4,12,340031
6,16,339829
7,14,339358
4,13,339288
4,16,338682
6,12,337566
3,22,335772
3,16,331863
6,9,331742
2,15,330785
3,9,330213
1,14,329848
5,11,329184
1,17,329062
5,10,327502
1,13,327028
7,20,325017
4,11,324545
3,13,324071
7,21,323948
3,12,323608
6,11,322829
1,18,322184
2,20,321679
2,14,321086
1,15,317434
1,12,317388
4,10,317076
5,7,316232
5,23,313456
1,16,313123
2,16,312994
7,11,312685
6,10,312204
2,21,310324
3,11,309448
4,7,308229
1,0,307182
3,10,306273
2,8,304893
7,0,300233
3,7,297266
2,13,293245
1,11,292825
6,7,288975
2,9,288241
2,12,286999
7,10,283451
1,19,277617
2,11,275091
2,10,269922
1,1,261784
2,22,257538
4,23,257399
1,10,256642
2,7,251064
1,20,250712
7,1,237234
7,9,236963
1,21,230726
3,23,219710
1,22,210342
6,0,205607
1,2,198225
1,9,191228
7,2,183044
5,6,175714
4,6,170318
2,23,168048
7,8,167697
3,6,166505
6,6,165420
1,3,152593
2,6,149632
1,23,148817
5,0,148246
1,8,131611
7,3,127041
4,0,125604
6,1,123999
3,0,113721
7,7,108603
1,4,93469
2,0,88914
1,7,84824
5,1,82389
7,4,80767
6,2,74255
7,6,69638
3,1,69627
6,5,68547
4,1,67429
5,5,66305
3,5,64224
4,5,63796
2,5,58784
1,6,56346
2,1,52309
6,3,48660
5,2,47775
7,5,45139
6,4,44676
1,5,44608
3,2,43597
4,2,39805
2,2,33668
5,4,33592
3,4,32959
5,3,32072
3,3,31065
2,4,29707
4,4,29471
4,3,26527
2,3,23271
