pickup_hour,total_trips,avg_fare,avg_speed_mph,avg_distance_miles
0,1289507,13.57,14.72,3.54
1,894771,12.86,15.12,3.37
2,620369,12.25,15.28,3.18
3,441229,12.78,16.05,3.39
4,344641,15.41,18.60,4.37
5,411403,16.58,19.54,4.83
6,953573,13.63,15.85,3.68
7,1655193,12.57,12.44,3.02
8,2056848,12.53,10.43,2.72
9,2071007,12.62,10.18,2.66
10,2073070,12.73,10.29,2.73
11,2166607,12.76,9.96,2.69
12,2291496,13.00,9.98,2.78
13,2316788,13.35,10.15,2.95
14,2448505,13.76,9.87,3.06
15,2467118,13.80,9.63,3.03
16,2325381,14.02,9.89,3.11
17,2635294,13.33,9.76,2.91
18,2917367,12.43,10.03,2.70
19,2740699,12.14,11.02,2.76
20,2495285,12.65,12.23,3.07
21,2478695,12.91,12.68,3.18
22,2319679,13.11,13.05,3.25
23,1812857,13.52,13.84,3.44
